SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
4,0.27,27.9,19,11,1.68,9.24,0,0,0,2.58,29.68,76.86
2.3,0.14,24.7,23,7,1.65,5.45,0,0,0,2.44,30.89,78.43
3.2,0.18,26.9,13,7,1.28,5.26,0,0,0,2.98,29.63,76.82
3.3,0.24,25.4,14,9,1.45,7.28,0,0,0,1.99,29.71,73.21
3,0.15,24.3,26,8,1.78,6.22,0,0,0,2.59,31.24,72.37
3.4,0.19,25.6,14,7,1.36,5.48,0,0,0,3.29,30.5,75.71
4.2,0.27,24.8,18,11,1.85,9.05,0,0,0,2.26,30.84,70.93
3,0.31,23.5,15,10,1.48,8.94,0,0,0,2.18,29.12,75.38
3.4,0.23,24.6,14,9,1.55,7.85,0,0,0,3.4,27.83,84.89
2.8,0.19,23.4,24,8,1.71,6.26,0,0,0,2.87,29.32,77.02
3.7,0.33,28.4,19,13,2.06,11,0,0,0,2.8,25.19,88.02
3.8,0.44,22.5,20,16,2.48,13.44,0,0,0,1.59,26.07,79.69
2.6,0.25,26.1,19,10,1.76,8.54,0,0,0,2.25,25.8,84.57
4.7,0.4,42.2,31,15,1.64,13.83,0,0,0,3.31,22.76,79.98
4.6,0.51,35.9,36,20,1.88,17.65,0,0,0,1.84,23.61,70.92
4.5,0.38,42.2,33,13,1.4,12.07,0,0,0,2.53,22.92,77.84
4.9,0.43,35.8,39,16,2.28,13.87,0,0,0,3.71,18.94,81.72
3.9,0.39,37.3,39,14,2.1,12.32,0,0,0,2.94,20.05,75.13
4.5,0.56,29.1,43,21,2.77,18.46,0,0,0,1.88,19.33,72.18
4.2,0.39,29.4,30,16,2.67,13.51,0,0,0,4.74,16.35,82.85
3.6,0.37,30.9,30,14,2.32,11.97,0,0,0,3.58,16.56,78.81
3.3,0.52,25.1,30,20,3.38,16.98,0,0,0,2.1,16.3,73.66
4.8,0.42,32.1,42,19,3.66,15.26,0,0,0,3.53,0,72.14
4.5,0.64,25.9,45,27,5.74,20.92,0,0,0,2.14,0,64.54
6.1,0.46,29.8,45,22,4.92,17.53,0,0,0,4.64,0,74.19
4.1,0.58,21.6,41,25,4.45,20.94,0,0,0,2.33,0,69.9
5.1,0.41,29.8,41,17,2.48,14.38,0,0,0,4.05,0,74.99
5.6,0.43,29.2,39,19,2.79,15.77,0,0,0,5.12,0,77.43
4.7,0.57,25.8,43,24,3.4,20.66,2.113,0.248,1.865,0,0,69.02
5.3,0.41,33,38,17,2.67,14.75,1.99,0.141,1.85,0,0,75.77
4.5,0.39,34,41,15,2.22,13.06,0,0,0,0,0,74.79
4.6,0.34,40.3,31,14,2.3,11.65,1.919,0.091,1.827,0,0,73.99
4,0.43,36.1,34,18,1.94,16.23,1.907,0.185,1.722,0,0,65.44
3.9,0.28,41.7,33,12,1.6,10.52,0,0,0,0,0,73.11
4.4,0.46,32.2,35,17,2.08,15.36,2.022,0.208,1.813,1.84,0,72.04
