SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3,0.45,0,34.2,24,20.69,3.31,17.37,1.958,0.167,1.79,1.9,27.53,69.66
2.7,0.37,0,23.6,15,16.55,3.51,13.03,1.899,0.145,1.76,1.88,27.85,73.89
2.6,0.32,0,26.7,16,10.39,2.16,8.22,1.867,0.109,1.76,2.7,27.24,73.92
2.8,0.36,424.58,22.2,17,16.38,4.22,12.16,1.974,0.199,1.78,2,27.94,72.91
3.1,0.28,0,23.2,16,16.84,4.11,12.72,1.956,0.18,1.78,2.47,28.75,78.54
3.3,0.29,0,25.2,13,13.96,2.35,11.6,0,0,0,3.19,28.16,79.08
2.9,0.34,0,27.7,19,9.63,1.69,7.93,1.749,0.116,1.63,2.81,27.67,70.76
2.8,0.29,414.34,27,20,12.93,2.66,10.28,1.834,0.126,1.71,2.21,29.56,69.24
2.6,0.3,0,27.1,17,13.29,2.38,10.91,1.776,0.096,1.68,2.1,29.56,69.84
3.2,0.21,0,27.5,17,12.86,2.47,10.39,1.861,0.143,1.72,2.68,29.73,74.5
2.9,0.25,0,27.3,13,11.54,1.92,9.61,0,0,0,3.15,28.97,76.96
2.4,0.31,0,19.8,13,14.31,2.83,11.49,1.771,0.105,1.67,2.05,0,68.44
3.2,0.19,0,19.9,13,14.08,3.35,10.73,1.864,0.169,1.7,2.41,29.75,73.49
3.2,0.47,0,24.7,14,10.18,2.18,7.99,1.795,0.137,1.66,3.19,28.47,68.41
2.7,0.29,418.62,20.3,16,13.18,3.13,10.05,1.81,0.139,1.67,2.15,29.7,68.51
2.9,0.23,0,19.2,8,12.5,2.57,9.93,0,0,0,3.05,30.72,75.28
2.6,0.42,0,22.4,19,18.95,3.43,15.52,0,0,0,1.65,27.27,75.93
2.8,0.28,0,22.9,19,18.46,3.47,14.98,0,0,0,2.17,26.52,79.94
3,0.41,424.94,22.4,21,19.42,3.96,15.47,0,0,0,1.85,28.8,74.03
2.9,0.32,0,25.9,15,15.82,2.36,13.46,0,0,0,2.9,28.17,81.24
2.8,0.44,0,26.8,18,13.16,2.29,10.86,0,0,0,2.68,25.51,77.39
2.9,0.43,424.5,31.2,23,19.87,2.95,16.92,0,0,0,2.07,25,66.77
3.2,0.41,0,30.3,23,18.57,2.65,15.91,0,0,0,1.82,24.32,68.25
3,0.31,0,35.7,22,16.32,2.48,13.84,0,0,0,2.77,23.64,71.36
2.9,0.42,0,34.6,23,14.1,1.85,12.24,0,0,0,2.53,22.65,68.88
3.1,0.33,0,36.1,19,15.59,2.15,13.45,0,0,0,3.6,24.23,73.22
3.1,0.58,0,24.2,31,26.54,5.27,21.27,0,0,0,1.54,20.5,73.3
2.7,0.43,0,29.5,28,23.04,4.39,18.65,0,0,0,2.53,20.23,75.99
2.8,0.51,0,28.1,24,18.49,2.79,15.7,0,0,0,2.02,19.09,75.58
2.8,0.42,0,30.8,25,19.03,2.7,16.33,0,0,0,3.48,20.34,77.77
2.9,0.62,432.23,24.6,33,28.27,5.32,22.95,0,0,0,1.76,21.79,70.74
2.9,0.46,0,30.4,33,22.3,4.82,17.47,0,0,0,2.74,17.77,71.82
2.5,0.47,0,31.8,24,16.53,2.56,13.96,0,0,0,1.97,16.43,69.79
2.9,0.64,0,26.8,36,27.78,5.26,22.51,0,0,0,1.85,19.07,67.49
2.6,0.44,0,32,27,17.96,2.74,15.21,0,0,0,3.75,17.72,74.06
2.8,0.61,0,24.9,35,29.21,7.41,21.8,0,0,0,1.58,18.07,69.05
2.9,0.47,0,28.8,35,24.6,6.47,18.12,0,0,0,3.01,16.91,67.97
3.1,0.66,0,24.5,38,32.11,7.17,24.94,0,0,0,1.81,18.41,66.51
3.2,0.62,0,24.7,35,33.15,9.19,23.96,0,0,0,1.61,17.24,60.97
