SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3,0.39,36.5,25,17.23,2.23,15.02,2.078,0.151,1.93,1.83,26.93,77.07
6.7,0.42,35.8,29,23.61,2.92,20.71,2.128,0.2,1.93,1.85,28.63,71.31
8.8,0.32,28.3,21,19.93,3.71,16.23,1.987,0.14,1.85,2.07,30.92,72.28
4.5,0.31,34.1,22,13.57,2.21,11.35,2.06,0.123,1.94,1.89,29.79,76.14
5.9,0.48,29,19,18.86,3.76,15.1,2.031,0.172,1.86,0.95,30.74,71.51
4.5,0.23,35.3,21,8,1.09,6.9,2.021,0.054,1.97,2.39,30,76.06
4.1,0.29,34,20,13.87,1.46,12.4,2.015,0.096,1.92,2.3,29.44,77.95
5.8,0.32,29.9,21,16.89,3.01,13.87,2.006,0.11,1.9,1.67,30.12,73.72
2.1,0.23,35.4,25,5.64,0.89,4.73,0,0,0,0.93,29.77,75.73
3.3,0.32,31.2,21,14.94,2.65,12.31,2.052,0.192,1.86,1.71,29.82,76.24
4.1,0.26,28.9,23,13.32,2.97,10.35,2.219,0.131,2.09,1.8,30.17,75.29
3.8,0.43,31,20,15.18,1.83,13.34,2.095,0.141,1.95,1.76,30.05,72.71
4.5,0.31,34.6,20,12.52,1.71,10.81,1.958,0.096,1.86,2.24,29.72,75.18
3.3,0.29,31,23,13.29,2.13,11.16,0,0,0,2.32,30.18,75.72
8,0.28,18.2,16,18.57,4.72,13.86,1.938,0.132,1.81,2.07,31.02,74.46
3.1,0.41,20.3,14,14.44,2.34,12.1,2.053,0.152,1.9,1.81,29.86,75.56
3.2,0.25,21.8,13,12.7,1.74,10.95,1.977,0.108,1.87,2.13,29.55,79.14
3.9,0.18,24.8,0,7.34,0.97,6.36,1.953,0.05,1.9,2.36,29.65,78.17
3.9,0.25,17.7,16,13.5,2.95,10.56,2.168,0.138,2.03,1.69,29.89,77.55
3.7,0.26,23.4,16,12.48,2.09,10.37,2.016,0.107,1.91,1.83,29.41,80.07
1.8,0.25,20.8,17,11.71,2.64,9.07,0,0,0,2.37,30.85,76.46
1.6,0.19,22.7,18,4.08,0.92,3.12,0,0,0,1.16,29.18,76.11
3,0.27,19.6,14,14.3,3.73,10.58,1.885,0.16,1.73,1.56,29.72,77.16
3.5,0.28,21.8,12,11.29,2.02,9.26,1.889,0.093,1.8,2.16,29.08,77.4
5,0.3,17.5,14,16.41,3.06,13.34,1.941,0.102,1.84,1.57,30,75.79
4.9,0.42,18,14,17.93,4.46,13.47,1.985,0.16,1.83,0.99,30.13,73.05
2.9,0.22,22.7,16,11.62,2.4,9.22,0,0,0,2.6,29.22,69.7
5.3,0.27,26.8,15,13.23,2.42,10.82,2.025,0.122,1.9,2.14,29.88,76.23
4.8,0.29,19.8,12,15.36,3.04,12.32,1.933,0.106,1.83,2.08,30.2,71.23
2.9,0.13,23.9,12,6.47,1.49,4.97,1.996,0.039,1.96,2.94,30.19,71.56
1.6,0.17,26.8,17,4.62,1.02,3.59,0,0,0,1.32,28.59,76.51
3.7,0.27,23.1,13,15.88,2.56,13.31,2.007,0.136,1.87,2.43,30.12,68.55
3.8,0.19,20.1,13,12.05,2.69,9.35,2.145,0.141,2,2.18,29.6,76.23
5.1,0.37,20.7,12,17.07,3.91,13.16,1.988,0.162,1.83,1.23,30.52,68.5
3.2,0.26,23.4,13,16.19,4.23,11.96,1.903,0.145,1.76,1.97,29.68,73.67
4.1,0.26,22.9,11,13.19,2.78,10.42,1.914,0.111,1.8,2.37,29.86,68.37
3.8,0.37,22,12,14.37,2.85,11.52,2.03,0.146,1.89,1.91,30.55,69.79
8.1,0.25,20.2,12,15.78,4.04,11.74,1.956,0.133,1.82,2.31,30.73,72.43
3.5,0.34,14.1,9,14.43,3.86,10.57,2.021,0.154,1.87,1.96,30.15,73.54
1.3,0.15,18.9,13,5.08,1.2,3.87,0,0,0,1.36,28.49,76.65
2.9,0.23,15,9,13.9,3.05,10.84,1.946,0.115,1.83,2.33,29.75,75.85
2.8,0.24,14.4,9,14.7,5.18,9.53,1.89,0.14,1.75,2.06,29.57,73.43
3.7,0.23,16.1,7,11.62,3.13,8.49,1.894,0.097,1.8,2.27,29.71,76.33
8.4,0.21,11.7,10,18,5.66,12.33,1.994,0.185,1.81,2.12,29.8,78.43
2.7,0.18,15,11,10.81,3.06,7.75,0,0,0,2.83,28.69,72.32
4.4,0.34,13.4,8,16.62,5.25,11.36,1.962,0.157,1.81,1.15,30.07,77.57
3.7,0.2,14.2,8,12.33,3.49,8.84,2.131,0.152,1.98,2.06,29.04,80.05
4.1,0.26,12.1,7,15.02,3.83,11.19,1.922,0.109,1.81,1.69,29.48,74.62
3.3,0.22,19,7,11.3,2.82,8.47,1.948,0.089,1.86,2.15,29.45,75.36
2.3,0.1,16.7,9,6.48,1.8,4.68,1.909,0.035,1.88,2.37,29.65,76.84
3.8,0.2,40.1,18,9.5,1.44,8.05,1.995,0.056,1.94,2.21,28.41,74.17
1.8,0.27,34.8,23,7.54,1.18,6.35,0,0,0,1.16,27.63,67.89
4.3,0.3,31.2,18,14.76,2.01,12.75,2.216,0.144,2.07,1.77,27.83,76.94
3.6,0.34,36.2,25,14.99,2.73,12.26,2.025,0.142,1.88,1.96,28.06,70.85
8.7,0.34,32.7,18,21.21,3.4,17.81,2.09,0.175,1.91,1.95,28.26,75.19
5.6,0.51,34.3,20,20.28,3.22,17.07,2.122,0.2,1.92,1.02,28.68,73.61
3.5,0.33,29.4,24,13.64,2.11,11.53,0,0,0,2.29,27.18,69.25
3.9,0.36,39.7,23,16.07,1.82,14.25,2.057,0.112,1.95,2.19,27.93,74.42
4.4,0.34,39.1,21,14.88,1.82,13.06,2.061,0.117,1.94,1.81,27.85,73.26
4.5,0.46,30.4,22,17.96,2.73,15.23,2.143,0.176,1.97,1.66,28.7,70.67
5.3,0.38,32.8,23,17.73,2.36,15.37,2.046,0.131,1.92,1.54,28.06,71.45
4.5,0.34,39.8,21,13.03,1.65,11.38,2.024,0.113,1.91,2.12,28.04,72.97
