SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.3,0.39,26.9,22,15,2.5,12.55,1.937,0.137,1.8,0,0,73.03
1.7,0.29,34.6,23,10,1.83,8.6,0,0,0,0,0,79.15
2.5,0.27,32.9,30,11,1.76,9.43,0,0,0,0,0,77.02
2.5,0.37,28,39,16,2.49,13.68,0,0,0,0,0,79.63
2.4,0.5,21.4,29,21,4.21,16.36,2.073,0.176,1.897,0,0,73.83
1.8,0.34,29.4,30,13,2.1,11.25,0,0,0,0,0,78.09
1.9,0.46,32.3,38,17,2.61,14.05,0,0,0,0,0,72.11
2.7,0.48,29.6,54,23,3.96,18.76,0,0,0,0,0,77.39
2.8,0.64,21.8,39,29,6.11,22.73,2.199,0.245,1.955,0,0,71.47
2.5,0.66,15.3,31,31,8.96,22.47,2.227,0.26,1.967,0,0,77.93
1.7,0.52,23.2,32,18,3.55,14.82,0,0,0,0,0,78.76
2.5,0.49,18.3,46,24,5.2,18.95,0,0,0,0,0,82.74
2.6,0.65,14.8,29,30,9.09,20.55,2.19,0.231,1.96,0,0,78.77
1.9,0.54,21.5,34,18,3.78,14.35,0,0,0,0,0,77.91
2.3,0.5,19.3,41,22,4.73,17.53,0,0,0,0,0,81.37
2.9,0.6,15.9,30,28,7.4,20.39,2.173,0.25,1.923,0,0,75.42
2,0.51,18.2,33,19,3.78,15.12,0,0,0,0,0,78.44
2.7,0.44,18.2,36,22,3.61,18.78,0,0,0,0,0,78.62
2.2,0.46,25.8,33,17,3.5,13.05,0,0,0,0,0,77.3
2.9,0.42,24.2,38,20,3.72,16.53,0,0,0,0,0,81.9
2.7,0.6,21.4,38,26,6.2,19.38,2.174,0.233,1.941,0,0,78.61
2,0.38,32.6,31,14,1.95,12.13,0,0,0,0,0,73.05
3.1,0.52,28.5,34,24,4.41,19.58,2.078,0.204,1.874,0,0,73.38
2.9,0.37,31.6,32,20,3.07,16.66,0,0,0,0,0,77.71
2.3,0.41,44,44,13,1.31,11.26,0,0,0,0,0,72.88
2.9,0.34,41.2,38,13,1.58,11.67,0,0,0,0,0,77.66
3.6,0.51,38.7,37,18,2.68,15.47,2.06,0.158,1.903,0,0,72.66
2,0.24,32.5,24,10,1.41,8.11,0,0,0,0,0,72.23
2.8,0.3,26,18,14,3.35,10.26,1.902,0.107,1.795,0,0,73.66
2.4,0.19,27.6,18,8,1.04,6.95,0,0,0,0,0,77.91
2,0.19,25.3,17,8,1.16,6.34,0,0,0,0,0,78.59
1.9,0.25,27.3,23,9,1.41,7.76,0,0,0,0,0,75.51
2.2,0.28,25.3,19,11,2.61,8.12,1.865,0.083,1.783,0,0,74.48
2.2,0.3,24.6,17,13,3.22,9.95,1.884,0.088,1.796,0,0,73.64
2.1,0.2,25.1,16,10,1.79,7.93,0,0,0,0,0,77.85
1.9,0.26,27.5,20,10,1.58,8.62,0,0,0,0,0,73.47
2.7,0.33,32,35,16,2.32,13.46,0,0,0,0,0,79.19
3.1,0.51,29.3,30,21,3.7,17.33,2.091,0.184,1.907,0,0,76.7
2.1,0.37,34.1,34,13,1.62,11.68,0,0,0,0,0,76.18
3.8,0.6,35.3,53,25,2.94,21.63,2.174,0.228,1.946,0,0,67.08
3.2,0.44,41.2,61,18,1.45,16.34,0,0,0,0,0,69.26
2.7,0.47,44.9,57,17,1.58,15.45,0,0,0,0,0,66.24
3.7,0.65,27.1,50,30,4.75,25.66,2.178,0.277,1.901,0,0,71.14
3.4,0.5,29.2,69,23,2.9,19.76,0,0,0,0,0,73.81
2.2,0.55,37.6,59,19,1.86,17.48,0,0,0,0,0,72.45
2.9,0.66,21.5,46,30,6.27,23.54,2.145,0.264,1.881,0,0,73.81
2,0.55,30.7,45,18,2.47,15.97,0,0,0,0,0,69.76
2.6,0.53,26.5,59,23,3.39,19.18,0,0,0,0,0,76.57
3,0.51,17.7,39,25,4.42,20.14,0,0,0,0,0,77.79
3.3,0.65,15,31,32,8.47,23.1,2.199,0.288,1.911,0,0,74.99
2,0.55,20.4,38,20,3.45,16.7,0,0,0,0,0,74.15
3.5,0.71,20.9,52,33,7.27,25.31,2.273,0.32,1.953,0,0,69.02
3.2,0.54,24.8,55,25,4.17,21.07,0,0,0,0,0,71.79
2.4,0.6,24.8,45,23,4.31,18.71,0,0,0,0,0,68.77
3.5,0.63,22.5,41,29,6.7,22.73,2.188,0.276,1.912,0,0,75.39
2.9,0.45,26.3,51,23,4.85,18.31,0,0,0,0,0,79.78
1.9,0.47,28.5,39,18,3.19,14.45,0,0,0,0,0,73.76
3.8,0.52,28.5,34,22,4.06,18.35,0,0,0,0,0,73.57
2.1,0.4,34.8,35,14,1.9,11.89,0,0,0,0,0,72.15
2.6,0.38,33.1,41,17,3.25,13.71,0,0,0,0,0,78.13
2.2,0.31,34.3,27,11,1.63,9.02,0,0,0,0,0,74.32
2.2,0.25,30.3,23,10,2.41,7.42,0,0,0,0,0,82.42
3,0.41,27.6,24,15,2.66,12.01,2.441,0.604,1.837,0,0,77.69
1.7,0.27,32.6,26,10,1.61,8.46,0,0,0,0,0,73.92
2.7,0.34,30.2,23,12,2.24,9.47,2.295,0.487,1.808,0,0,76.12
2.3,0.22,30.4,19,9,2.33,6.43,0,0,0,0,0,81.22
1.8,0.21,26.8,18,9,1.92,7.42,0,0,0,0,0,73.22
2.2,0.24,22.1,14,11,2.84,7.8,2.065,0.503,1.562,0,0,74.64
1.9,0.18,25.5,13,9,2.68,5.94,0,0,0,0,0,78.99
2.3,0.26,23,18,13,3.24,9.58,0,0,0,0,0,82.7
2.4,0.35,20.3,19,16,3.83,11.84,2.065,0.522,1.544,0,0,78.76
1.9,0.3,25.2,20,12,2.75,9.31,0,0,0,0,0,79.56
3.6,0.44,30.8,29,19,3.32,15.64,1.991,0.348,1.642,0,0,73.89
3,0.35,35.4,33,15,2.96,12.27,0,0,0,0,0,78.03
2.1,0.35,38.9,28,13,1.62,10.99,0,0,0,0,0,71.54
3.1,0.58,25.9,33,26,4.95,20.74,2.027,0.3,1.727,0,0,77.81
2.8,0.46,27.7,51,22,3.98,18.22,0,0,0,0,0,81.23
1.9,0.47,32.6,35,16,1.93,14.14,0,0,0,0,0,75.88
3.5,0.56,25.5,43,25,4.9,19.91,1.716,0.192,1.524,0,0,70.95
2.2,0.5,31.1,42,17,2.43,14.81,0,0,0,0,0,70.2
3.2,0.47,27.8,55,22,4.34,17.86,0,0,0,0,0,74.22
3.1,0.6,18.8,33,28,7.78,20.14,1.828,0.218,1.61,0,0,78.85
2,0.56,21.9,34,19,3.71,15.29,0,0,0,0,0,76.28
2.3,0.53,19.5,43,24,5.48,18.18,0,0,0,0,0,82.34
2.2,0.6,23,36,22,4.04,17.5,0,0,0,0,0,72.92
3.2,0.58,21,54,25,5.25,20.16,0,0,0,0,0,78.18
3.8,0.65,19.1,42,32,8.29,23.65,1.943,0.259,1.684,0,0,74.74
3.2,0.59,22.8,59,26,5.42,20.54,0,0,0,0,0,74.63
2.2,0.6,25.7,45,21,3.51,17.86,0,0,0,0,0,71.84
4.4,0.69,19.8,49,32,8.17,23.99,1.918,0.261,1.657,0,0,72.3
2.2,0.5,30.3,39,19,2.55,16.2,0,0,0,0,0,72.17
3.7,0.56,23.8,32,27,6.26,20.91,1.835,0.195,1.64,0,0,73.6
3.1,0.47,27.2,45,22,4.17,17.69,0,0,0,0,0,76.51
4,0.49,34.5,34,22,3.12,18.85,1.833,0.18,1.653,0,0,71.6
2.1,0.43,39.9,37,15,1.72,12.84,0,0,0,0,0,70.54
2.8,0.41,35.8,46,18,2.75,15.03,0,0,0,0,0,76.15
2.3,0.32,40.3,38,12,1.88,9.62,0,0,0,0,0,80.28
3.4,0.44,37.8,34,16,2.3,13.81,1.918,0.163,1.755,0,0,73.16
2.2,0.37,44.7,38,13,1.68,11.31,0,0,0,0,0,69.49
