SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.7,0.39,0,21.8,13,19.47,4.16,15.31,0,0,0,1.83,29.35,74.03
2.4,0.54,0,20.2,13,25.97,6.83,19.14,0,0,0,1.54,30.14,73.12
3.7,1.65,0,0,14,68.85,41.08,27.78,2.548,0.517,2.03,0,0,0
2,0.21,419.73,41,13,4.18,0.67,3.45,0,0,0,0,20.38,93.28
3,0.39,0,29.6,18,16.36,2.39,13.97,0,0,0,2,26.97,74.66
3.7,0.51,432.76,26.5,18,27.04,6.68,20.36,2.002,0.171,1.83,1.65,26.52,75.74
2.9,0.5,0,30,18,24.09,5.22,18.86,2.049,0.15,1.9,1.9,26.65,77.09
3.7,0.67,0,24.4,20,33.96,8.97,24.99,2.114,0.209,1.91,1.92,27.46,78.16
4.4,1.42,0,0,20,65.43,34.61,30.82,2.491,0.434,2.06,0,0,0
3.4,0.55,0,26.4,20,27.5,5.58,21.92,0,0,0,1.93,27.61,75.14
4.1,1.5,0,0,30,69.87,33.87,36,2.659,0.461,2.2,0,0,0
3.8,0.89,0,25,31,44.29,13.77,30.52,2.263,0.281,1.98,1.76,24.34,81.75
3.1,0.68,0,30.6,30,31.62,6.99,24.63,2.212,0.221,1.99,1.7,23.71,80.59
3.6,0.79,0,28.3,29,37.16,8.73,28.43,0,0,0,1.7,24.51,78.02
1.7,0.29,419.19,47.4,18,5.22,0.62,4.53,0,0,0,0,17.47,96.5
3.7,0.69,439.33,29.1,29,35.22,9.15,26.07,2.158,0.223,1.94,1.53,23.21,77.97
2.7,0.52,0,32.9,28,21.89,4.02,17.87,0,0,0,1.79,23.84,77.58
2.8,0.81,0,24.1,24,47.38,15.72,31.66,0,0,0,1.73,18.27,75.36
2.4,0.68,0,28.7,21,37.69,11.7,25.99,2.22,0.23,1.99,1.77,17.44,80.42
2.3,0.59,0,31,21,31.45,10.49,20.96,0,0,0,1.69,17.48,75.29
1.6,0.24,413.82,51.8,13,3.72,0.47,3.15,0,0,0,0,11,93.22
2.6,0.93,0,22,25,56.57,23.01,33.56,2.34,0.32,2.01,1.65,18.17,80.01
3.6,1.59,0,0,26,93.51,54.53,38.98,2.73,0.53,2.2,0,0,0
2.6,0.68,439.77,25.6,23,42.96,15.38,27.58,2.17,0.23,1.94,1.47,17.29,75.79
3,1.28,0,0,20,76.08,43.27,32.81,2.498,0.401,2.1,0,0,0
2.4,0.7,0,22,23,39.8,12.32,27.48,2.178,0.216,1.96,1.84,16.25,77.58
2,0.51,0,27.3,16,25.99,5.67,20.33,2.096,0.139,1.96,2.01,15.33,80.01
2.1,0.53,430.17,26.6,20,29.57,7.54,22.02,2.056,0.147,1.91,1.49,15.39,73.71
2.4,0.42,0,34,17,17.73,3.94,13.79,0,0,0,2,15.77,70.8
1.4,0.25,402.33,46.1,11,3.16,0.37,2.63,0,0,0,0,9.04,90.87
2.3,0.59,0,23.2,22,33.27,7.93,25.33,0,0,0,1.83,16.39,73.16
2.2,0.54,0,26.2,17,24.41,7.88,16.53,0,0,0,1.85,16.52,76.63
2.4,0.66,0,19.3,17,35.31,12.01,23.3,2.191,0.206,1.99,1.9,15.98,86.09
