SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity,Danger
6.5,0.47,34.7,23,26,3.17,22.83,2.258,0.149,2.11,2.24,21.93,73.7,0
4.7,0.71,27.5,45,31,4.55,26.67,2.303,0.235,2.068,1.79,21.2,69.11,1
1.9,0.45,31.8,38,13,2.08,11.15,0,0,0,1.07,20.7,73.55,1
3.6,0.52,26.8,48,24,4.02,20.16,0,0,0,2.28,19.58,72.15,1
4.7,0.86,27.1,45,35,6.31,28.66,2.349,0.341,2.009,1.17,21.42,71.35,1
3.1,0.51,28.1,44,25,4.3,20.43,2.156,0.167,1.989,2.11,20.36,71.12,1
4.3,0.53,27.9,41,29,5.72,23.41,2.318,0.239,2.079,2.04,20.47,72.4,1
5.5,0.68,23.6,43,32,5,26.79,2.34,0.287,2.053,1.47,21.57,69.84,1
3.7,0.56,31.3,45,25,2.67,21.84,2.271,0.183,2.088,2.24,21.49,73.5,1
5.3,0.55,28.1,38,28,3.98,24.19,2.301,0.217,2.084,1.94,20.94,73.52,1
4.8,0.73,27.4,39,35,5.61,29.3,2.347,0.266,2.081,1.72,22.54,70.03,1
5.7,0.57,27.2,42,30,4.62,25.21,2.392,0.265,2.127,1.86,22.08,75.25,1
7.3,0.49,32.9,33,28,3.84,24.03,2.309,0.178,2.131,2.18,23.1,74.69,0
3.8,0.6,32.1,46,25,3.02,22.32,2.224,0.227,1.998,2.27,22.26,72.81,1
5.1,0.52,26.5,42,29,7.22,21.93,2.34,0.279,2.061,1.99,21.81,73.77,1
4.9,0.68,23.8,42,33,5.94,27.26,2.365,0.328,2.037,1.45,22.73,71.6,1
3.3,0.51,25.4,39,28,4.58,22.95,2.192,0.19,2.002,2.03,21.66,72.42,1
