SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.1,0.41,20.3,14,14.44,2.34,12.1,2.053,0.152,1.9,1.81,29.86,75.56
3.2,0.25,21.8,13,12.7,1.74,10.95,1.977,0.108,1.87,2.13,29.55,79.14
3.9,0.25,17.7,16,13.5,2.95,10.56,2.168,0.138,2.03,1.69,29.89,77.55
3.7,0.26,23.4,16,12.48,2.09,10.37,2.016,0.107,1.91,1.83,29.41,80.07
3,0.27,19.6,14,14.3,3.73,10.58,1.885,0.16,1.73,1.56,29.72,77.16
3.5,0.28,21.8,12,11.29,2.02,9.26,1.889,0.093,1.8,2.16,29.08,77.4
5,0.3,17.5,14,16.41,3.06,13.34,1.941,0.102,1.84,1.57,30,75.79
3.2,0.26,23.4,13,16.19,4.23,11.96,1.903,0.145,1.76,1.97,29.68,73.67
4.8,0.29,19.8,12,15.36,3.04,12.32,1.933,0.106,1.83,2.08,30.2,71.23
5.1,0.37,20.7,12,17.07,3.91,13.16,1.988,0.162,1.83,1.23,30.52,68.5
4.1,0.26,22.9,11,13.19,2.78,10.42,1.914,0.111,1.8,2.37,29.86,68.37
3.8,0.19,20.1,13,12.05,2.69,9.35,2.145,0.141,2,2.18,29.6,76.23
2.9,0.13,23.9,12,6.47,1.49,4.97,1.996,0.039,1.96,2.94,30.19,71.56
5.3,0.27,26.8,15,13.23,2.42,10.82,2.025,0.122,1.9,2.14,29.88,76.23
3.8,0.37,22,12,14.37,2.85,11.52,2.03,0.146,1.89,1.91,30.55,69.79
3.7,0.27,23.1,13,15.88,2.56,13.31,2.007,0.136,1.87,2.43,30.12,68.55
8.1,0.25,20.2,12,15.78,4.04,11.74,1.956,0.133,1.82,2.31,30.73,72.43
4.4,0.34,13.4,8,16.62,5.25,11.36,1.962,0.157,1.81,1.15,30.07,77.57
2.3,0.1,16.7,9,6.48,1.8,4.68,1.909,0.035,1.88,2.37,29.65,76.84
3.5,0.34,14.1,9,14.43,3.86,10.57,2.021,0.154,1.87,1.96,30.15,73.54
8.4,0.21,11.7,10,18,5.66,12.33,1.994,0.185,1.81,2.12,29.8,78.43
2.8,0.24,14.4,9,14.7,5.18,9.53,1.89,0.14,1.75,2.06,29.57,73.43
3.7,0.23,16.1,7,11.62,3.13,8.49,1.894,0.097,1.8,2.27,29.71,76.33
3.3,0.22,19,7,11.3,2.82,8.47,1.948,0.089,1.86,2.15,29.45,75.36
2.9,0.23,15,9,13.9,3.05,10.84,1.946,0.115,1.83,2.33,29.75,75.85
4.1,0.26,12.1,7,15.02,3.83,11.19,1.922,0.109,1.81,1.69,29.48,74.62
3.7,0.2,14.2,8,12.33,3.49,8.84,2.131,0.152,1.98,2.06,29.04,80.05
3.9,0.36,39.7,23,16.07,1.82,14.25,2.057,0.112,1.95,2.19,27.93,74.42
4.5,0.46,30.4,22,17.96,2.73,15.23,2.143,0.176,1.97,1.66,28.7,70.67
8.7,0.34,32.7,18,21.21,3.4,17.81,2.09,0.175,1.91,1.95,28.26,75.19
5.6,0.51,34.3,20,20.28,3.22,17.07,2.122,0.2,1.92,1.02,28.68,73.61
5.3,0.38,32.8,23,17.73,2.36,15.37,2.046,0.131,1.92,1.54,28.06,71.45
4.5,0.34,39.8,21,13.03,1.65,11.38,2.024,0.113,1.91,2.12,28.04,72.97
3.6,0.34,36.2,25,14.99,2.73,12.26,2.025,0.142,1.88,1.96,28.06,70.85
4.4,0.34,39.1,21,14.88,1.82,13.06,2.061,0.117,1.94,1.81,27.85,73.26
4.3,0.3,31.2,18,14.76,2.01,12.75,2.216,0.144,2.07,1.77,27.83,76.94
3.8,0.2,40.1,18,9.5,1.44,8.05,1.995,0.056,1.94,2.21,28.41,74.17
4.9,0.44,34.4,26,20.07,2.71,17.36,2.077,0.137,1.94,1.62,25.39,68.72
5.3,0.56,34.3,24,23.32,3.98,19.34,2.151,0.211,1.94,1.14,25.86,71.05
4.6,0.36,31.4,23,18.15,2.96,15.19,2.254,0.163,2.09,1.9,24.86,74.65
4.1,0.4,39.7,24,15.49,1.85,13.63,2.023,0.126,1.9,2.13,25.34,70.16
4.2,0.4,36.3,23,18.76,2.99,15.76,2.087,0.143,1.95,1.9,25.08,70.11
3.2,0.4,35.4,29,17.71,3.45,14.26,2.056,0.158,1.9,2.02,25.3,68.05
3.5,0.39,40.1,28,16.3,1.29,15.03,2.099,0.128,1.97,2.11,25.43,70.51
4.5,0.53,30.2,26,20.85,3.24,17.61,2.165,0.191,1.97,1.64,25.96,68.23
7.9,0.39,31.1,23,23.97,3.95,20.03,2.062,0.154,1.91,1.92,25.5,72.65
3.7,0.28,37.7,21,12.31,1.83,10.49,2.064,0.08,1.98,2.3,25.71,72.33
5,0.73,35.3,38,28.65,4.16,24.49,2.294,0.276,2.02,1.24,23.98,69.72
7,0.54,33.8,41,31.23,4.33,26.9,2.184,0.212,1.97,2,23.27,70.68
4.2,0.52,41.1,40,19.97,2.01,18.01,2.228,0.176,2.05,2.42,22.91,70.4
3.6,0.49,36.2,43,22.58,3.51,19.07,2.127,0.2,1.93,2.19,22.54,67.89
4.7,0.64,29.7,37,25.77,3.48,22.29,2.286,0.241,2.05,1.65,23.48,67.47
4.8,0.41,39.1,29,18.3,2.17,16.13,2.157,0.12,2.04,2.5,23.69,70.93
5,0.48,32.8,33,22.99,2.98,20.01,2.32,0.2,2.12,2.02,22.63,72.55
4.5,0.51,36,40,25.01,3.52,21.49,2.164,0.201,1.96,2.12,22.48,69.95
4.2,0.53,40.7,37,20.26,2.1,18.15,2.135,0.169,1.97,2.4,22.81,69.3
5,0.6,34.8,43,26,3.14,22.86,2.228,0.193,2.04,1.76,23.07,67.59
